timestamp,date,datetime,price_usd,market_cap_usd,volume_usd,volatility,price_change,volume_change,price_ma,price_deviation,kmeans_cluster,dbscan_cluster
1764950506410,2025-12-05,2025-12-05 17:01:46,90691.06,1817512010436.24,46386069728.87,669.0907278493828,0.5002680640720847,1.923869142754664,91865.78625,-1.2787418449814953,2,0
1764954074639,2025-12-05,2025-12-05 18:01:14,88838.81,1773878355023.18,49851559616.9,901.9849115864977,-2.0423733055937365,7.470971152085193,91719.52416666667,-3.140786209740936,2,-1
1764957665872,2025-12-05,2025-12-05 19:01:05,89320.67,1782599210094.92,50030194354.07,1011.4171525052735,0.5423980802984563,0.35833329697760874,91589.20916666667,-2.4768629266560915,2,0
1764961414597,2025-12-05,2025-12-05 20:03:34,88971.14,1775508900091.77,50643231338.28,1135.832909226076,-0.3913203964994838,1.2253340050439432,91457.54125000001,-2.7186399459432327,2,0
1764964888699,2025-12-05,2025-12-05 21:01:28,89661.01,1791069275961.42,50093378286.14,1184.7811355242015,0.7753862657036814,-1.0857384839193296,91357.22375,-1.8566826796769968,2,0
1764968427157,2025-12-05,2025-12-05 22:00:27,89319.19,1782492362528.44,49886770603.59,1229.855032116869,-0.38123594637177183,-0.4124450967747273,91225.96666666666,-2.090168771391469,2,0
1764972100516,2025-12-05,2025-12-05 23:01:40,89168.62,1779904625467.06,50088223862.19,1280.3023711834514,-0.1685751964387583,0.40382100537392773,91099.87666666666,-2.119933349342626,2,0
1764975693417,2025-12-06,2025-12-06 00:01:33,89246.76,1782124799120.11,50113884323.69,1305.0427808921413,0.08763172515173778,0.05123052789932636,90970.59249999998,-1.8949337941269204,2,0
1764979303734,2025-12-06,2025-12-06 01:01:43,89307.09,1782798987370.17,50193142876.74,1322.6402468086615,0.06759909267295416,0.1581568743266093,90852.52541666666,-1.7010373785197541,2,0
1764982901025,2025-12-06,2025-12-06 02:01:41,89411.87,1784204518055.8,50468403309.59,1316.4819639659484,0.11732551133398772,0.5484024651055686,90732.09958333334,-1.4550854542066194,2,0
1764986415183,2025-12-06,2025-12-06 03:00:15,89313.01,1783120256761.55,50013158862.53,1298.8764826465513,-0.11056697505599233,-0.9020385373941342,90604.71625,-1.4256501244768292,2,0
1764990092273,2025-12-06,2025-12-06 04:01:32,89404.65,1784346026383.09,49580915812.91,1253.4857135302545,0.10260543228808316,-0.8642586460257173,90474.58375,-1.1825793561609075,2,0
1764993727039,2025-12-06,2025-12-06 05:02:07,89659.76,1789977487437.65,49586672365.44,1200.912830786499,0.2853431001631268,0.011610419927943205,90364.47541666667,-0.7798589140447738,2,0
1764997277817,2025-12-06,2025-12-06 06:01:17,89670.36,1790000142267.19,48533040629.08,1151.5911109548624,0.011822471976286053,-2.1248284793039307,90264.47041666666,-0.6581885584928494,2,0
1765001218673,2025-12-06,2025-12-06 07:06:58,89596.54,1788400541651.07,48489964994.15,1102.9211758798408,-0.08232374666501396,-0.08875527758339663,90167.61041666666,-0.6333431861260815,2,0
1765004544417,2025-12-06,2025-12-06 08:02:24,89700.05,1790121724286.88,48023454133.36,1011.4735932785514,0.11552901484812583,-0.96207712430042,90060.80708333333,-0.40057056450706846,2,0
1765008064718,2025-12-06,2025-12-06 09:01:04,89610.68,1788883523926.79,48132952208.56,901.0685733881938,-0.09963205148716403,0.22800957818636114,89951.04999999999,-0.37839469355832467,2,0
1765011695681,2025-12-06,2025-12-06 10:01:35,89322.01,1782948473873.17,47988204340.1,781.9231997977149,-0.3221379415935699,-0.3007250995800237,89834.67583333333,-0.5706770003650494,2,0
1765015262581,2025-12-06,2025-12-06 11:01:02,89590.58,1788441268991.13,46308005550.69,732.3701183143908,0.30067617152815806,-3.5012745580188076,89770.39791666665,-0.20030869957107267,2,0
